Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
1311.9246847190875,1mM,0.001,2171.9396809910954,2171.9396809910954,0.0
1315.850371411236,1mM,0.001,1931.2636054098798,1931.2636054098798,0.0
1319.7760581033842,1mM,0.001,1750.0560102384193,1750.0560102384193,0.0
1323.7017447955325,1mM,0.001,1661.4134686499594,1661.4134686499594,0.0
1327.6274314876807,1mM,0.001,1746.4113224749037,1746.4113224749037,0.0
1331.553118179829,1mM,0.001,1854.3601816491325,1854.3601816491325,0.0
1335.4788048719774,1mM,0.001,2114.5944470649324,2114.5944470649324,0.0
1339.4044915641257,1mM,0.001,2464.177330973386,2464.177330973386,0.0
1343.330178256274,1mM,0.001,2887.073536600221,2887.073536600221,0.0
1347.2558649484222,1mM,0.001,3352.291488155494,3352.291488155494,0.0
1351.1815516405704,1mM,0.001,3826.256691998423,3826.256691998423,0.0
1355.1072383327187,1mM,0.001,4255.659288798635,4255.659288798635,0.0
1359.0329250248672,1mM,0.001,4606.058414578413,4606.058414578413,0.0
1362.9586117170154,1mM,0.001,5061.736440156275,5061.736440156275,0.0
1366.8842984091636,1mM,0.001,5579.20503039255,5579.20503039255,0.0
1370.809985101312,1mM,0.001,6402.779741322232,6402.779741322232,0.0
1374.7356717934601,1mM,0.001,7996.56241542245,7996.56241542245,0.0
1378.6613584856086,1mM,0.001,10775.475610053929,10775.475610053929,0.0
1382.5870451777569,1mM,0.001,14520.008911239134,14520.008911239134,0.0
1386.512731869905,1mM,0.001,17736.717839915636,17736.717839915636,0.0
1390.4384185620534,1mM,0.001,18483.498716611353,18483.498716611353,0.0
1394.3641052542016,1mM,0.001,15942.268610419289,15942.268610419289,0.0
1398.28979194635,1mM,0.001,11470.805023464754,11470.805023464754,0.0
1402.2154786384983,1mM,0.001,7431.074126397838,7431.074126397838,0.0
1406.1411653306466,1mM,0.001,5232.366337250648,5232.366337250648,0.0
1410.0668520227948,1mM,0.001,4998.04216675495,4998.04216675495,0.0
1413.992538714943,1mM,0.001,6437.214450277224,6437.214450277224,0.0
1417.9182254070913,1mM,0.001,9472.953131308479,9472.953131308479,0.0
1421.8439120992398,1mM,0.001,14101.397914308349,14101.397914308349,0.0
1425.769598791388,1mM,0.001,19351.510102645745,19351.510102645745,0.0
1429.6952854835363,1mM,0.001,23765.116784844184,23765.116784844184,0.0
1433.6209721756845,1mM,0.001,26289.845647314865,26289.845647314865,0.0
1437.5466588678328,1mM,0.001,26218.118937850555,26218.118937850555,0.0
1441.4723455599812,1mM,0.001,23848.203940650812,23848.203940650812,0.0
1445.3980322521295,1mM,0.001,19923.213866439888,19923.213866439888,0.0
1449.3237189442777,1mM,0.001,15278.223088776058,15278.223088776058,0.0
1453.249405636426,1mM,0.001,11095.508785506161,11095.508785506161,0.0
1457.1750923285742,1mM,0.001,8289.083177597131,8289.083177597131,0.0
1461.1007790207225,1mM,0.001,7068.8860366091485,7068.8860366091485,0.0
1465.026465712871,1mM,0.001,7001.0477488496135,7001.0477488496135,0.0
1468.9521524050192,1mM,0.001,7270.833800754931,7270.833800754931,0.0
1472.8778390971675,1mM,0.001,7043.311920495875,7043.311920495875,0.0
1476.8035257893157,1mM,0.001,6182.657850221084,6182.657850221084,0.0
1480.729212481464,1mM,0.001,5201.80442842518,5201.80442842518,0.0
1484.6548991736124,1mM,0.001,4561.05719561086,4561.05719561086,0.0
1488.5805858657607,1mM,0.001,4245.148577186955,4245.148577186955,0.0
1492.506272557909,1mM,0.001,3908.3980907584823,3908.3980907584823,0.0
1496.4319592500572,1mM,0.001,3563.7980122253907,3563.7980122253907,0.0
1500.3576459422054,1mM,0.001,3426.469331177613,3426.469331177613,0.0
1504.2833326343539,1mM,0.001,3442.065663810497,3442.065663810497,0.0
1508.2090193265021,1mM,0.001,3511.09229255755,3511.09229255755,0.0
1512.1347060186504,1mM,0.001,3619.3456211688995,3619.3456211688995,0.0
1516.0603927107986,1mM,0.001,3743.9108716097494,3743.9108716097494,0.0
1519.9860794029469,1mM,0.001,3872.7211505013306,3872.7211505013306,0.0
1523.9117660950951,1mM,0.001,4218.4227139177965,4218.4227139177965,0.0
1527.8374527872436,1mM,0.001,4783.868531442773,4783.868531442773,0.0
1531.7631394793918,1mM,0.001,5497.047429711033,5497.047429711033,0.0
1535.68882617154,1mM,0.001,6420.715492248873,6420.715492248873,0.0
1539.6145128636883,1mM,0.001,7338.9909047080755,7338.9909047080755,0.0
1543.5401995558366,1mM,0.001,8310.03547884108,8310.03547884108,0.0
1547.465886247985,1mM,0.001,9360.531020708782,9360.531020708782,0.0
1551.3915729401333,1mM,0.001,10462.689981215603,10462.689981215603,0.0
1555.3172596322815,1mM,0.001,11761.449699195331,11761.449699195331,0.0
1559.2429463244298,1mM,0.001,13122.646937397936,13122.646937397936,0.0
1563.168633016578,1mM,0.001,14530.001223972034,14530.001223972034,0.0
1567.0943197087263,1mM,0.001,15966.086816025952,15966.086816025952,0.0
1571.0200064008748,1mM,0.001,17093.686605057643,17093.686605057643,0.0
1574.945693093023,1mM,0.001,17569.879693242063,17569.879693242063,0.0
1578.8713797851713,1mM,0.001,17304.4669018925,17304.4669018925,0.0
1582.7970664773195,1mM,0.001,16483.839147101407,16483.839147101407,0.0
1586.7227531694678,1mM,0.001,15271.66157834422,15271.66157834422,0.0
1590.6484398616162,1mM,0.001,13517.547382657816,13517.547382657816,0.0
1594.5741265537645,1mM,0.001,11162.252281306766,11162.252281306766,0.0
