Raman shift (cm-1),RP_AS,RP_HS_V2,RP_HS_V3,RP_HS_V4
1668.576205,77.57943678,49.54154,46.93690938,29.07794
1671.732059,82.96093061,66.28669333,72.11604044,56.6402
1674.883828,76.76624742,52.56913667,44.5190231,58.31189
1678.031523,34.83947706,26.92327667,38.70614698,20.01953
1681.175157,4.094789332,46.89185333,46.27594491,13.79753
1684.314739,36.82663577,16.67569667,-24.14304077,-14.50216
1687.450284,-0.906208088,21.5805,-35.01898629,-58.46959
1690.581801,-26.29451627,21.12783667,36.8300208,61.91469
1693.709304,4.217505588,-2.68179,30.88529987,11.21737
1696.832803,24.25469159,9.053713333,5.104448909,-4.3372
1699.952311,14.21099883,32.75318,32.37727684,16.97102
1703.067839,79.5284193,60.13875667,49.52951394,38.14151
1706.179399,119.711492,56.55264333,48.10920153,53.39545
1709.287003,94.17858236,51.19332667,56.54833309,38.4279
1712.390663,88.00696022,60.88005667,74.87097244,30.19769
1715.49039,67.79870128,57.96029,69.84924568,51.38634
1718.586197,78.83073774,62.43502333,44.67952458,30.72021
1721.678095,84.88769757,14.52780333,0.516938057,1.24391
1724.766096,-6.45536655,-23.00505,-37.78441714,-30.22677
1727.850213,-41.94150321,-32.44212,0.687925693,6.38164
1730.930456,7.802342967,30.41943333,39.62382782,31.72728
1734.006838,21.43335864,64.78452,1.93972236,3.1419
1737.079372,43.22198823,8.574803333,-27.52329257,-27.24167
1740.148067,71.88034011,66.61709,12.50544858,8.17971
1743.212938,93.83593662,69.32846,58.08934667,126.81671
1746.273996,63.67837255,52.15785667,69.76341129,82.61557
1749.331252,14.40492685,76.12636333,72.57988344,86.37097
1752.384718,24.28762541,42.27715667,32.9563979,44.97446
1755.434408,60.2539826,32.39477333,0.585097494,46.47141
1758.480332,64.58705981,60.02309333,48.63893605,63.51559
1761.522503,83.87058026,29.30494333,78.79961389,69.15502
1764.560933,61.85465719,36.17626333,29.73852225,24.74042
1767.595634,1.433518169,28.17484667,-18.61061862,-28.26923
1770.626618,-12.13887527,21.94813333,-0.343242346,-10.43627
1773.653896,9.541820979,57.26511667,53.73584978,51.60225
1776.677482,0.792996705,45.24990333,67.13662826,69.39386
1779.697388,-20.21861636,-0.060433333,19.74036217,23.53421
1782.713625,8.155475488,3.55618,-16.61737454,-16.62028
1785.726205,45.04016681,31.65868667,-1.093536497,52.97341
1788.735141,73.84049089,51.39307667,4.685975598,45.29043
1791.740445,72.97139903,42.91947667,-7.78470558,5.3862
1794.742129,43.31228945,50.72607667,37.37159363,50.40495
1797.740206,48.72098152,73.75277333,85.84134669,78.6579
1800.734687,71.79840447,45.36253,33.37247233,57.74041
1803.725585,67.23144065,37.25754333,-16.00065909,-5.59793
1806.712912,14.12735615,33.2474,9.183459901,18.04419
1809.69668,10.51132676,41.09689,17.98852207,25.71038
1812.676902,29.06003578,38.21671667,11.3300856,18.25469
1815.65359,-25.56555398,-8.105426667,14.8626532,23.19538
1818.626756,17.15923557,1.142743333,-5.615500424,-1.77744
1821.596413,39.17468598,9.41167,-31.35744754,-59.06181
1824.562573,-8.850859151,17.94839,-18.09864703,3.15298
1827.525247,45.32471193,40.69034667,4.925714363,18.3762
