Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4
933.7797229,19.0332571,57.29437529,-15.63
934.8082683,15.12780353,55.48711408,-19.80
935.8366314,14.49198891,51.18789207,-0.49
936.8648121,17.23320598,44.97129013,-7.33
937.8928105,23.22138233,39.34,4.185962043
938.9206266,32.09054314,37.12952881,24.16529965
939.9482606,43.25648565,39.09314489,43.98193854
940.9757123,55.95408857,42.95543362,64.30137573
942.002982,69.29320497,45.26112412,58.48105728
943.0300696,82.32477083,44.12154154,62.9579121
944.0569751,94.10848642,40.29516343,80.62627512
945.0836986,103.7811784,36.01250366,86.80
946.1102402,110.6292976,33.02582822,97.67107302
947.1365999,114.1634656,31.57337513,105.0974739
948.1627777,114.1828635,30.85890473,102.840422
949.1887736,110.811352,30.17960994,112.0662031
950.2145878,104.4914329,29.67633266,114.9848026
951.2402203,95.9347482,30.26478166,107.1535252
952.265671,86.04089093,32.52938572,104.9159064
953.2909401,75.80303504,35.56111334,95.56903726
954.3160276,66.21831414,37.50155183,91.94942624
955.3409335,58.2133514,37.44472934,79.17
956.3656579,52.58533081,36.52381202,49.78353045
957.3902008,49.95280774,37.20366193,32.03
958.4145623,50.71215275,41.45433931,12.12
959.4387423,55.00385123,49.12270563,15.85303635
960.462741,62.69930929,58.24351849,38.90543874
961.4865584,73.41407661,67.27219918,33.67526032
962.5101945,86.54288885,76.03838563,44.60223803
963.5336494,101.3106578,83.92722842,74.72572274
964.5569231,116.8392054,88.85780493,84.24
965.5800157,132.2256966,89.59,77.17839048
966.6029272,146.6176145,87.99094773,68.53
967.6256576,159.2696324,87.36932027,85.08831025
968.6482069,169.5818986,88.91789368,112.7847308
969.6705754,177.1289382,90.57,137.2702537
970.6927628,181.6830985,89.05,156.6422901
971.7147694,183.2252754,82.3727622,165.1734469
972.7365952,181.9319708,71.22635229,172.106177
973.7582401,178.1354362,58.66582406,173.2520202
974.7797043,172.2672207,48.50860015,173.6440465
975.8009877,164.8042591,42.93438379,166.4423542
976.8220905,156.2329783,40.84807789,159.5234145
977.8430127,147.03432,38.74702724,163.2188866
978.8637542,137.6811243,34.01310649,155.0076577
979.8843152,128.6349111,27.80968589,134.0819504
980.9046957,120.3324723,24.68361813,104.3877544
981.9248957,113.1618237,29.09087603,95.27323691
982.9449153,107.435979,41.76556448,86.74
983.9647546,103.3744393,58.85085912,73.90835237
984.9844134,101.0944817,74.531212,84.60734906
986.003892,100.6057999,84.76135669,61.59296784
987.0231904,101.8042728,88.71326934,56.78897513
988.0423085,104.4704999,87.9435638,90.88621327
