Wavelength,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3
891.4492967,33.06357392,27.67066478,64.21559755
892.4851727,37.16137435,26.98013317,62.50805736
893.5208646,37.78474139,28.3181498,56.39264215
894.5563725,40.15624415,34.90378921,55.91977493
895.5916964,44.63206979,41.47878175,58.33317007
896.6268362,45.30776935,40.78906015,57.0136279
897.6617922,41.02631491,34.7318462,45.26397312
898.6965642,36.9373975,30.37734323,35.47687192
899.7311524,32.53136385,28.30417385,23.79952105
900.7655568,24.15949487,24.15224443,17.68871115
901.7997774,17.38011755,18.50433377,12.00782974
902.8338143,17.29811245,15.13169054,2.854658535
903.8676675,14.64645565,12.29876098,9.398429789
904.9013371,3.710487901,7.627092453,-4.401812933
905.9348231,-3.363911857,6.633402698,-11.70411366
906.9681256,-0.99797593,12.9751767,11.45228128
908.0012446,0.131535443,19.39614757,12.24473057
909.0341801,-0.328547497,20.72378149,14.46586936
910.0669322,8.915598707,23.22211851,32.99400558
911.0995009,25.53918109,32.2066627,51.94689409
912.1318863,38.65746843,43.57679561,66.23553177
913.1640883,49.61250876,52.13458424,63.31207668
914.1961072,63.9260913,57.53680016,69.64504641
915.2279429,77.75805549,61.71715238,75.41469999
916.2595954,86.8656061,66.9322365,73.70442151
917.2910647,93.42742203,73.95160535,81.88901222
918.3223511,99.56900892,80.24864632,86.04550892
919.3534543,103.5780324,81.97111288,88.488417
920.3843747,101.5238846,77.21923527,89.18230445
921.415112,94.21429084,68.65128422,82.03656299
922.4456665,89.48136284,62.026678,66.75111948
923.4760381,87.96492702,58.42318835,70.46862059
924.5062269,79.86199002,53.4000682,71.64661775
925.5362329,64.404789,46.94336305,52.12001415
926.5660562,50.31418135,42.73047354,49.03018933
927.5956968,36.06189014,36.98173462,41.53860046
928.6251548,16.52473106,24.30286576,26.72333164
929.6544302,1.895429797,12.331383,11.64935917
930.683523,2.480986484,11.40982723,15.60801029
931.7124333,7.868607935,15.4037294,31.01551804
932.7411612,5.570488959,12.89043519,15.47877057
933.7697066,1.049027216,7.449350783,15.48052985
934.7980697,2.281032847,9.206455944,23.39945662
935.8262504,7.218635373,18.24331399,14.31949664
936.8542488,13.46331982,27.8273828,22.43551349
937.8820649,21.98987524,34.28455966,23.16616137
938.9096989,30.38329067,37.92911532,25.34881022
939.9371506,31.88585671,39.01332192,37.64563978
940.9644203,25.14911187,37.16583678,29.02544163
