Wavelength,AAB_AS_S1_I17
2050.570296,55.67396476
2049.733597,58.45392368
2048.896758,63.44489607
2048.05978,67.13312437
2047.222662,73.41646973
2046.385405,76.83093699
2045.548008,74.36073729
2044.710471,72.28945052
2043.872795,74.14276701
2043.034979,75.58251467
2042.197023,71.77271077
2041.358928,69.43802079
2040.520692,68.73222905
2039.682317,61.72675483
2038.843802,52.82049788
2038.005148,44.04119971
2037.166353,32.03769696
2036.327418,22.17174947
2035.488344,21.20102692
2034.649129,21.8054235
2033.809775,13.56557315
2032.97028,9.310614966
2032.130646,13.91203033
2031.290871,11.4753629
2030.450956,7.817693579
2029.610901,9.78594415
2028.770705,10.2706154
2027.93037,8.236752057
2027.089894,2.302429151
2026.249278,0.510654806
2025.408521,4.375381537
2024.567625,2.382604681
2023.726588,4.457618839
2022.88541,10.54802905
2022.044092,5.102956506
2021.202634,1.73059433
2020.361035,8.288808337
2019.519295,13.37425505
2018.677415,18.81130378
2017.835394,25.93359503
2016.993233,36.01588222
2016.150931,50.04974939
2015.308489,62.60055872
2014.465905,77.10689141
2013.623181,89.80785596
2012.780317,97.21215647
2011.937311,105.1072961
2011.094165,107.5599521
2010.250877,107.2669127
2009.407449,112.7656595
2008.56388,119.8230874
2007.72017,121.4098813
2006.876319,119.2650567
2006.032327,122.9922738
2005.188194,120.8331617
2004.34392,108.2869811
2003.499505,100.4851689
2002.654948,84.19176371
2001.810251,66.18826929
2000.965412,69.11580533
2000.120432,69.69349734
1999.275311,59.55905893
1998.430049,54.29261231
1997.584645,54.34291209
1996.7391,62.53311362
1995.893414,69.90833503
1995.047586,69.61291406
1994.201617,68.14258234
1993.355506,59.19339476
1992.509254,50.88851275
1991.66286,51.38497168
1990.816325,49.15609242
1989.969648,53.39064489
1989.122829,68.7144589
1988.275869,77.18824669
1987.428768,70.83972692
1986.581524,60.19266622
1985.734139,62.2734666
1984.886612,67.2586766
1984.038943,64.17515072
1983.191133,67.13016716
1982.34318,73.6384323
1981.495086,80.28524431
1980.64685,90.24070012
1979.798472,94.63516046
1978.949951,98.63508283
1978.101289,110.7123925
1977.252485,128.7179375
1976.403539,146.0856282
1975.554451,154.4007456
1974.70522,160.421506
1973.855848,169.560805
1973.006333,180.3565276
1972.156676,197.8002916
1971.306877,216.480437
1970.456935,227.8699689
1969.606851,227.6986975
1968.756625,216.7358645
1967.906257,206.235619
1967.055746,196.6758691
1966.205093,190.1931941
1965.354297,195.2940956
1964.503359,196.8921327
1963.652278,188.7465279
1962.801054,186.3250536
1961.949688,186.4930078
1961.09818,183.1842924
1960.246529,178.1407748
1959.394735,166.505972
1958.542798,155.1243885
1957.690719,149.8203707
1956.838497,143.3059063
1955.986132,136.2905868
1955.133625,131.5858598
1954.280974,129.7890536
1953.428181,127.3365311
1952.575244,120.3600866
1951.722165,113.3304516
1950.868943,101.7458576
1950.015578,79.96881558
1949.162069,55.57118663
1948.308418,40.86043966
1947.454624,38.19429909
1946.600686,32.86957312
1945.746605,23.5203122
1944.892381,19.86958397
1944.038014,16.54081836
1943.183504,16.89427859
1942.32885,26.57691223
1941.474053,30.41264145
1940.619113,24.18789891
1939.764029,20.91467015
1938.908802,25.68202474
1938.053432,33.9787085
1937.197918,37.72771386
1936.34226,41.01959255
1935.486459,49.77663408
1934.630514,53.9969525
1933.774426,52.66878014
1932.918195,52.88660375
